Inoc_Date,Rating_Date,Genotype,Run,Bench,Node,Leaf,Percent_Sporulation,Percent_Lesion
4/24/19,5/1/19,64,1,G,3,2,60,70
4/24/19,5/1/19,64,1,G,4,1,50,60
4/24/19,5/1/19,64,1,G,4,2,50,30
4/24/19,5/1/19,53,1,A,3,1,0,20
4/24/19,5/1/19,53,1,A,3,2,0,30
4/24/19,5/1/19,53,1,A,4,1,0,85
4/24/19,5/1/19,53,1,A,4,2,0,90
4/24/19,5/1/19,53,1,B,3,1,0,5
4/24/19,5/1/19,53,1,B,3,2,0,5
4/24/19,5/1/19,53,1,B,4,1,20,50
4/24/19,5/1/19,53,1,B,4,2,5,40
4/24/19,5/1/19,53,1,D,3,1,0,8
4/24/19,5/1/19,53,1,D,3,2,0,0
4/24/19,5/1/19,53,1,D,4,1,0,80
4/24/19,5/1/19,53,1,D,4,2,0,80
4/24/19,5/1/19,53,1,G,3,1,0,10
4/24/19,5/1/19,53,1,G,3,2,0,5
4/24/19,5/1/19,53,1,G,4,1,0,20
4/24/19,5/1/19,53,1,G,4,2,0,40
4/24/19,5/1/19,46,1,A,3,1,0,20
4/24/19,5/1/19,46,1,A,3,2,0,60
4/24/19,5/1/19,46,1,A,4,1,10,70
4/24/19,5/1/19,46,1,A,4,2,5,70
4/24/19,5/1/19,46,1,B,3,1,0,0
4/24/19,5/1/19,46,1,B,3,2,0,5
4/24/19,5/1/19,46,1,B,4,1,10,50
4/24/19,5/1/19,46,1,B,4,2,30,50
4/24/19,5/1/19,46,1,D,3,1,0,50
4/24/19,5/1/19,46,1,D,3,2,2,50
4/24/19,5/1/19,46,1,D,4,1,20,60
4/24/19,5/1/19,46,1,D,4,2,20,50
4/24/19,5/1/19,46,1,G,3,1,20,20
4/24/19,5/1/19,46,1,G,3,2,30,30
4/24/19,5/1/19,46,1,G,4,1,70,70
4/24/19,5/1/19,46,1,G,4,2,70,70
4/24/19,5/1/19,38,1,A,3,1,0,40
4/24/19,5/1/19,38,1,A,3,2,0,20
4/24/19,5/1/19,38,1,A,4,1,0,80
4/24/19,5/1/19,38,1,A,4,2,0,60
4/24/19,5/1/19,38,1,B,3,1,0,0
4/24/19,5/1/19,38,1,B,3,2,0,0
4/24/19,5/1/19,38,1,B,4,1,0,50
4/24/19,5/1/19,38,1,B,4,2,0,30
4/24/19,5/1/19,38,1,D,3,1,0,0
4/24/19,5/1/19,38,1,D,3,2,0,0
4/24/19,5/1/19,38,1,D,4,1,0,10
4/24/19,5/1/19,38,1,D,4,2,0,30
4/24/19,5/1/19,38,1,G,3,1,0,5
4/24/19,5/1/19,38,1,G,3,2,0,10
